,State Code,District Code,Sub District Code,Category,Name,Residence,Inhabited Villages,Uninhabited Villages,Towns,Households,Population (Person),Population (Male),Population (Female),Area,Population Density
11198,22,401,3252,SUB-DISTRICT,Sitapur,Urban,0,0,1,1928,9361,4709,4652,8.34,1122.4220623501199
11199,22,401,3253,SUB-DISTRICT,Batouli,Total,54,0,0,16419,70244,35094,35150,377.01106200835704,186.31814044343062
11200,22,401,3253,SUB-DISTRICT,Batouli,Rural,54,0,0,16419,70244,35094,35150,377.01106200835704,186.31814044343062
11201,22,401,3253,SUB-DISTRICT,Batouli,Urban,0,0,0,0,0,0,0,0.0,0.0
11202,22,401,3254,SUB-DISTRICT,Mainpat,Total,46,0,0,16869,76573,38703,37870,406.5809650917778,188.33395208926007
11203,22,401,3254,SUB-DISTRICT,Mainpat,Rural,46,0,0,16869,76573,38703,37870,406.5809650917778,188.33395208926007
11204,22,401,3254,SUB-DISTRICT,Mainpat,Urban,0,0,0,0,0,0,0,0.0,0.0
11205,22,402,0,DISTRICT,Jashpur ,Total,754,1,5,192570,851669,424747,426922,5838.0,145.88369304556355
11206,22,402,0,DISTRICT,Jashpur ,Rural,754,1,0,176032,775677,386307,389370,5759.09,134.68742457575763
11207,22,402,0,DISTRICT,Jashpur ,Urban,0,0,5,16538,75992,38440,37552,78.91,963.0211633506527
11208,22,402,3255,SUB-DISTRICT,Bagicha,Total,137,0,1,39165,171711,86023,85688,1486.17,115.53927208865741
11209,22,402,3255,SUB-DISTRICT,Bagicha,Rural,137,0,0,36714,161284,80569,80715,1460.3600000000001,110.44126105891696
11210,22,402,3255,SUB-DISTRICT,Bagicha,Urban,0,0,1,2451,10427,5454,4973,25.81,403.9907012785742
11211,22,402,3256,SUB-DISTRICT,Kansabel,Total,62,0,0,18209,76735,37840,38895,561.42,136.6802037690143
11212,22,402,3256,SUB-DISTRICT,Kansabel,Rural,62,0,0,18209,76735,37840,38895,561.42,136.6802037690143
11213,22,402,3256,SUB-DISTRICT,Kansabel,Urban,0,0,0,0,0,0,0,0.0,0.0
