,District Code,Age Group,Total Persons
647,547,0-4,302002
648,547,5-9,343874
649,547,10-14,395023
650,547,15-19,443109
651,547,20-24,439514
652,547,25-29,417421
653,547,30-34,349438
654,547,35-39,357199
655,547,40-44,306810
656,547,45-49,271183
657,547,50-54,207483
658,547,55-59,163819
659,547,60-64,167324
660,547,65-69,124674
661,547,70-74,85982
662,547,75-79,38160
663,547,80+,46517
664,547,Age not stated,57866
665,548,All ages,4887813
666,548,0-4,341436
667,548,5-9,397595
668,548,10-14,446393
669,548,15-19,461689
670,548,20-24,478898
671,548,25-29,457451
672,548,30-34,377063
673,548,35-39,381916
674,548,40-44,323500
675,548,45-49,289332
676,548,50-54,231861
677,548,55-59,180504
678,548,60-64,189694
679,548,65-69,131977
680,548,70-74,101685
681,548,75-79,42585
682,548,80+,50156
683,548,Age not stated,4078
684,549,All ages,3397448
685,549,0-4,258334
686,549,5-9,306830
687,549,10-14,328482
688,549,15-19,307602
689,549,20-24,320805
690,549,25-29,310642
691,549,30-34,260979
692,549,35-39,253543
693,549,40-44,214359
694,549,45-49,188510
695,549,50-54,155445
696,549,55-59,121865
697,549,60-64,137576
698,549,65-69,93626
699,549,70-74,73488
700,549,75-79,28067
701,549,80+,31640
702,549,Age not stated,5655
703,550,All ages,2963557
704,550,0-4,209567
705,550,5-9,242649
706,550,10-14,272221
707,550,15-19,301772
708,550,20-24,278088
709,550,25-29,270416
710,550,30-34,234556
711,550,35-39,231813
712,550,40-44,199796
713,550,45-49,174283
714,550,50-54,140428
715,550,55-59,108369
716,550,60-64,117076
717,550,65-69,77964
718,550,70-74,55679
719,550,75-79,22454
720,550,80+,22052
721,550,Age not stated,4374
722,551,All ages,2882469
723,551,0-4,226828
724,551,5-9,263043
725,551,10-14,273328
726,551,15-19,264768
727,551,20-24,268608
728,551,25-29,257092
729,551,30-34,220877
730,551,35-39,223389
731,551,40-44,186574
732,551,45-49,162743
733,551,50-54,128468
734,551,55-59,104274
735,551,60-64,118193
