,District Code,Occupation,Total Main Worker (Person)
380,251,Legislators and Senior Officials,285
381,251,Corporate Managers,429
382,251,PROFESSIONALS,1036
383,251,"Physical, Mathematical and Engineering Science Professionals",120
384,251,Life Science and Health Professionals,194
385,251,Teaching Professionals,423
386,251,Other Professionals,299
387,251,TECHNICIANS AND ASSOCIATE PROFESSIONALS,2411
388,251,Physical and Engineering Science Associate Professionals,199
389,251,Life Science and Health Associate Professionals,456
390,251,Teaching Associate Professionals,1376
391,251,Other Associate Professionals,380
392,251,CLERKS,749
393,251,Office Clerks,710
394,251,Customer Services Clerks,39
395,251,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,2462
396,251,Personal and Protective Service Workers,1335
397,251,"Models, Sales Persons and Demonstrators",1127
398,251,SKILLED AGRICULTURAL AND FISHERY WORKERS,692
399,251,Market Oriented Skilled Agricultural and Fishery Workers,692
400,251,CRAFT AND RELATED TRADES WORKERS,1117
401,251,Extraction and Building Trades Workers,588
402,251,"Metal, Machinery and Related Trades Workers",330
403,251,"Precision, Handicraft, Printing and Related Trades Workers",37
404,251,Other Craft and Related Trades Workers,162
405,251,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,917
406,251,Stationary Plant and Related Operators,62
407,251,Machine Operators and Assemblers,73
408,251,Drivers and Mobile-Plant Operators,782
409,251,ELEMENTARY OCCUPATIONS,1894
410,251,Sales and Services Elementary Occupations,465
411,251,"Agricultural, Fishery and Related Labourers",435
412,251,"Labourers in Mining, Construction, Manufacturing and Transport",994
413,251,WORKERS NOT CLASSIFIED BY OCCUPATIONS,1616
414,251,Workers Not Reporting Any Occupations,1616
415,252,TOTAL,5369
416,252,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",190
417,252,Legislators and Senior Officials,115
418,252,Corporate Managers,74
419,252,General Managers,1
420,252,PROFESSIONALS,217
421,252,"Physical, Mathematical and Engineering Science Professionals",38
422,252,Life Science and Health Professionals,49
423,252,Teaching Professionals,70
424,252,Other Professionals,60
