,State Code,District Code,Name,Population (Person),Area,Population Density
3888,10,207,Madhubani,4487379,3501.0,1282.0
3954,10,208,Supaul,2229076,2425.0,919.0
3990,10,209,Araria,2811569,2830.0,993.0
4020,10,210,Kishanganj,1690400,1884.0,897.0
4044,10,211,Purnia,3264619,3229.0,1011.0
4089,10,212,Katihar,3071029,3057.0,1005.0
4140,10,213,Madhepura,2001762,1788.0,1120.0
4182,10,214,Saharsa,1900661,1687.0,1127.0
4215,10,215,Darbhanga,3937385,2279.0,1728.0
4272,10,216,Muzaffarpur,4801062,3172.0,1514.0
4323,10,217,Gopalganj,2562012,2033.0,1260.0
4368,10,218,Siwan,3330464,2219.0,1501.0
4428,10,219,Saran,3951862,2641.0,1496.0
4491,10,220,Vaishali,3495021,2036.0,1717.0
4542,10,221,Samastipur,4261566,2904.0,1467.0
4605,10,222,Begusarai,2970541,1918.0,1549.0
4662,10,223,Khagaria,1666886,1486.0,1122.0
4686,10,224,Bhagalpur,3037766,2569.0,1182.0
4737,10,225,Banka,2034763,3020.0,674.0
4773,10,226,Munger,1367765,1419.0,964.0
4803,10,227,Lakhisarai,1000912,1228.0,815.0
4827,10,228,Sheikhpura,636342,689.0,924.0
4848,10,229,Nalanda,2877653,2355.0,1222.0
4911,10,230,Patna,5838465,3202.0,1823.0
4983,10,231,Bhojpur,2728407,2395.0,1139.0
5028,10,232,Buxar,1706352,1703.0,1002.0
5064,10,233,Kaimur (Bhabua),1626384,3332.0,488.0
5100,10,234,Rohtas,2959918,3881.0,763.0
5160,10,235,Aurangabad,2540073,3305.0,769.0
5196,10,236,Gaya,4391418,4976.0,883.0
5271,10,237,Nawada,2219146,2494.0,890.0
5316,10,238,Jamui,1760405,3098.0,568.0
5349,10,239,Jehanabad ,1125313,931.0,1209.0
5373,10,240,Arwal,700843,638.0,1099.0
5391,11,0,SIKKIM,610577,7096.0,86.0
5394,11,241,North  District,43709,4226.0,10.0
5403,11,242,West District,136435,1166.0,117.0
5412,11,243,South District,146850,750.0,196.0
5421,11,244,East District,283583,954.0,297.0
5433,12,0,ARUNACHAL PRADESH,1383727,83743.0,17.0
5436,12,245,Tawang,49977,2172.0,23.009668508287287
5469,12,246,West Kameng,83947,7422.0,11.310563190514689
5511,12,247,East Kameng,78690,4134.0,19.034833091436862
5553,12,248,Papum Pare,176573,3462.0,51.003177354130564
5601,12,249,Upper Subansiri,83448,7032.000000000003,11.866894197952215
5649,12,250,West Siang,112274,8325.0,13.486366366366367
5715,12,251,East Siang,99214,3603.0037693964205,27.53646855513017
